worker-5  | 2026-03-30 11:15:56,639 [INFO] Worker starting with Supabase library...
worker-2  | 2026-03-30 11:16:12,234 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-2  | 2026-03-30 11:16:17,238 [INFO] Connecting to RabbitMQ...
worker-2  | 2026-03-30 11:16:17,240 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-2  | 2026-03-30 11:16:17,240 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-2  | 2026-03-30 11:16:22,248 [INFO] Connecting to RabbitMQ...
worker-2  | 2026-03-30 11:16:22,251 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-2  | 2026-03-30 11:16:22,251 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-2  | 2026-03-30 11:16:27,257 [INFO] Connecting to RabbitMQ...
worker-2  | 2026-03-30 11:16:27,264 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-2  | 2026-03-30 11:16:27,264 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-2  | 2026-03-30 11:16:32,266 [INFO] Connecting to RabbitMQ...
worker-2  | 2026-03-30 11:16:32,284 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-2  | 2026-03-30 11:16:32,285 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-2  | 2026-03-30 11:16:37,288 [INFO] Connecting to RabbitMQ...
worker-2  | 2026-03-30 11:16:37,293 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-2  | 2026-03-30 11:16:37,293 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-2  | 2026-03-30 11:16:42,296 [INFO] Connecting to RabbitMQ...
worker-2  | 2026-03-30 11:16:42,300 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-2  | 2026-03-30 11:16:42,301 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-2  | 2026-03-30 11:16:47,302 [INFO] Connecting to RabbitMQ...
worker-2  | 2026-03-30 11:16:47,304 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-2  | 2026-03-30 11:16:47,304 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-2  | 2026-03-30 11:16:52,309 [INFO] Connecting to RabbitMQ...
worker-2  | 2026-03-30 11:16:52,341 [INFO] Ready — consuming with concurrency=4
worker-2  | 2026-03-30 11:31:34,904 [INFO] 📩 Message received from RabbitMQ — creating task...
worker-2  | 2026-03-30 11:31:34,969 [INFO] 📩 Message received from RabbitMQ — creating task...
worker-2  | 2026-03-30 11:31:34,977 [INFO] Decoding message body: b'{"callback_url":"http://host.docker.internal:9999/callback","job_id":"stress-test-1-971a","location":"India","product_id":"b36b116e-0c19-4fa0-b669-835bd76c820e","query":"How to make a perfect Neapolitan pizza?"}'
worker-2  | 2026-03-30 11:31:34,991 [INFO] [stress-test-1-971a] Starting — query: 'How to make a perfect Neapolitan pizza?', location: India, attempt: 1/4
worker-2  | 2026-03-30 11:31:35,911 [INFO] HTTP Request: PATCH https://bnrpcmwkqqdmweoxkmth.supabase.co/rest/v1/processed_jobs?job_id=eq.stress-test-1-971a "HTTP/2 200 OK"
worker-2  | 2026-03-30 11:31:36,110 [INFO] [stress-test-1-971a] Status → processing
worker-2  | 2026-03-30 11:31:36,199 [INFO] Decoding message body: b'{"callback_url":"http://host.docker.internal:9999/callback","job_id":"stress-test-8-8109","location":"India","product_id":"b36b116e-0c19-4fa0-b669-835bd76c820e","query":"Who won the most Oscars in history?"}'
worker-2  | 2026-03-30 11:31:36,201 [INFO] [stress-test-8-8109] Starting — query: 'Who won the most Oscars in history?', location: India, attempt: 1/4
worker-2  | 2026-03-30 11:31:36,290 [INFO] HTTP Request: PATCH https://bnrpcmwkqqdmweoxkmth.supabase.co/rest/v1/processed_jobs?job_id=eq.stress-test-8-8109 "HTTP/2 200 OK"
worker-2  | 2026-03-30 11:31:36,294 [INFO] [stress-test-8-8109] Status → processing
worker-2  | 2026-03-30 11:31:39,278 [ERROR] [stress-test-8-8109] Processing error: 'Stealth' object has no attribute 'apply'
worker-2  | 2026-03-30 11:31:39,279 [INFO] [stress-test-8-8109] Retrying in 5s (attempt 1/3)
worker-2  | 2026-03-30 11:31:39,331 [ERROR] [stress-test-1-971a] Processing error: 'Stealth' object has no attribute 'apply'
worker-2  | 2026-03-30 11:31:39,332 [INFO] [stress-test-1-971a] Retrying in 5s (attempt 1/3)
worker-2  | 2026-03-30 11:31:44,280 [INFO] 📩 Message received from RabbitMQ — creating task...
worker-2  | 2026-03-30 11:31:44,345 [INFO] Decoding message body: b'{"callback_url":"http://host.docker.internal:9999/callback","job_id":"stress-test-0-d659","location":"India","product_id":"b36b116e-0c19-4fa0-b669-835bd76c820e","query":"What is the current price of Bitcoin?"}'
worker-2  | 2026-03-30 11:31:44,346 [INFO] [stress-test-0-d659] Starting — query: 'What is the current price of Bitcoin?', location: India, attempt: 2/4
worker-2  | 2026-03-30 11:31:44,563 [INFO] HTTP Request: PATCH https://bnrpcmwkqqdmweoxkmth.supabase.co/rest/v1/processed_jobs?job_id=eq.stress-test-0-d659 "HTTP/2 200 OK"
worker-2  | 2026-03-30 11:31:44,589 [INFO] [stress-test-0-d659] Status → processing
worker-2  | 2026-03-30 11:31:44,651 [INFO] 📩 Message received from RabbitMQ — creating task...
worker-2  | 2026-03-30 11:31:44,652 [INFO] Decoding message body: b'{"callback_url":"http://host.docker.internal:9999/callback","job_id":"stress-test-3-83c0","location":"India","product_id":"b36b116e-0c19-4fa0-b669-835bd76c820e","query":"Best places to visit in Japan during spring"}'
worker-2  | 2026-03-30 11:31:44,652 [INFO] [stress-test-3-83c0] Starting — query: 'Best places to visit in Japan during spring', location: India, attempt: 2/4
worker-2  | 2026-03-30 11:31:44,732 [INFO] HTTP Request: PATCH https://bnrpcmwkqqdmweoxkmth.supabase.co/rest/v1/processed_jobs?job_id=eq.stress-test-3-83c0 "HTTP/2 200 OK"
worker-2  | 2026-03-30 11:31:44,741 [INFO] [stress-test-3-83c0] Status → processing
worker-2  | 2026-03-30 11:31:45,328 [ERROR] [stress-test-0-d659] Processing error: 'Stealth' object has no attribute 'apply'
worker-2  | 2026-03-30 11:31:45,328 [INFO] [stress-test-0-d659] Retrying in 10s (attempt 2/3)
worker-2  | 2026-03-30 11:31:45,660 [ERROR] [stress-test-3-83c0] Processing error: 'Stealth' object has no attribute 'apply'
worker-2  | 2026-03-30 11:31:45,660 [INFO] [stress-test-3-83c0] Retrying in 10s (attempt 2/3)
worker-2  | 2026-03-30 11:31:54,862 [INFO] 📩 Message received from RabbitMQ — creating task...
worker-2  | 2026-03-30 11:31:54,862 [INFO] Decoding message body: b'{"callback_url":"http://host.docker.internal:9999/callback","job_id":"stress-test-7-2057","location":"India","product_id":"b36b116e-0c19-4fa0-b669-835bd76c820e","query":"Top 5 electric SUVs with highest range in 2024"}'
worker-2  | 2026-03-30 11:31:54,863 [INFO] [stress-test-7-2057] Starting — query: 'Top 5 electric SUVs with highest range in 2024', location: India, attempt: 3/4
worker-2  | 2026-03-30 11:31:55,038 [INFO] HTTP Request: PATCH https://bnrpcmwkqqdmweoxkmth.supabase.co/rest/v1/processed_jobs?job_id=eq.stress-test-7-2057 "HTTP/2 200 OK"
worker-2  | 2026-03-30 11:31:55,041 [INFO] [stress-test-7-2057] Status → processing
worker-2  | 2026-03-30 11:31:55,117 [ERROR] [stress-test-7-2057] Processing error: 'Stealth' object has no attribute 'apply'
worker-2  | 2026-03-30 11:31:55,118 [INFO] [stress-test-7-2057] Retrying in 15s (attempt 3/3)
worker-2  | 2026-03-30 11:31:55,611 [INFO] 📩 Message received from RabbitMQ — creating task...
worker-2  | 2026-03-30 11:31:55,612 [INFO] Decoding message body: b'{"callback_url":"http://host.docker.internal:9999/callback","job_id":"stress-test-1-971a","location":"India","product_id":"b36b116e-0c19-4fa0-b669-835bd76c820e","query":"How to make a perfect Neapolitan pizza?"}'
worker-2  | 2026-03-30 11:31:55,612 [INFO] [stress-test-1-971a] Starting — query: 'How to make a perfect Neapolitan pizza?', location: India, attempt: 3/4
worker-2  | 2026-03-30 11:31:55,684 [INFO] HTTP Request: PATCH https://bnrpcmwkqqdmweoxkmth.supabase.co/rest/v1/processed_jobs?job_id=eq.stress-test-1-971a "HTTP/2 200 OK"
worker-2  | 2026-03-30 11:31:55,692 [INFO] [stress-test-1-971a] Status → processing
worker-2  | 2026-03-30 11:31:55,976 [ERROR] [stress-test-1-971a] Processing error: 'Stealth' object has no attribute 'apply'
worker-2  | 2026-03-30 11:31:55,976 [INFO] [stress-test-1-971a] Retrying in 15s (attempt 3/3)
worker-2  | 2026-03-30 11:32:10,124 [INFO] 📩 Message received from RabbitMQ — creating task...
worker-2  | 2026-03-30 11:32:10,125 [INFO] Decoding message body: b'{"callback_url":"http://host.docker.internal:9999/callback","job_id":"stress-test-7-2057","location":"India","product_id":"b36b116e-0c19-4fa0-b669-835bd76c820e","query":"Top 5 electric SUVs with highest range in 2024"}'
worker-2  | 2026-03-30 11:32:10,125 [INFO] [stress-test-7-2057] Starting — query: 'Top 5 electric SUVs with highest range in 2024', location: India, attempt: 4/4
worker-2  | 2026-03-30 11:32:10,417 [INFO] HTTP Request: PATCH https://bnrpcmwkqqdmweoxkmth.supabase.co/rest/v1/processed_jobs?job_id=eq.stress-test-7-2057 "HTTP/2 200 OK"
worker-2  | 2026-03-30 11:32:10,418 [INFO] [stress-test-7-2057] Status → processing
worker-2  | 2026-03-30 11:32:10,523 [ERROR] [stress-test-7-2057] Processing error: 'Stealth' object has no attribute 'apply'
worker-2  | 2026-03-30 11:32:10,523 [ERROR] [stress-test-7-2057] Exhausted 3 retries — marking failed
worker-2  | 2026-03-30 11:32:10,602 [INFO] HTTP Request: PATCH https://bnrpcmwkqqdmweoxkmth.supabase.co/rest/v1/processed_jobs?job_id=eq.stress-test-7-2057 "HTTP/2 200 OK"
worker-2  | 2026-03-30 11:32:10,603 [INFO] [stress-test-7-2057] Status → failed
worker-2  | 2026-03-30 11:32:10,944 [INFO] 📩 Message received from RabbitMQ — creating task...
worker-2  | 2026-03-30 11:32:10,945 [INFO] Decoding message body: b'{"callback_url":"http://host.docker.internal:9999/callback","job_id":"stress-test-8-8109","location":"India","product_id":"b36b116e-0c19-4fa0-b669-835bd76c820e","query":"Who won the most Oscars in history?"}'
worker-2  | 2026-03-30 11:32:10,945 [INFO] [stress-test-8-8109] Starting — query: 'Who won the most Oscars in history?', location: India, attempt: 4/4
worker-2  | 2026-03-30 11:32:11,011 [INFO] HTTP Request: PATCH https://bnrpcmwkqqdmweoxkmth.supabase.co/rest/v1/processed_jobs?job_id=eq.stress-test-8-8109 "HTTP/2 200 OK"
worker-2  | 2026-03-30 11:32:11,012 [INFO] [stress-test-8-8109] Status → processing
worker-2  | 2026-03-30 11:32:11,148 [ERROR] [stress-test-8-8109] Processing error: 'Stealth' object has no attribute 'apply'
worker-2  | 2026-03-30 11:32:11,149 [ERROR] [stress-test-8-8109] Exhausted 3 retries — marking failed
worker-2  | 2026-03-30 11:32:11,223 [INFO] HTTP Request: PATCH https://bnrpcmwkqqdmweoxkmth.supabase.co/rest/v1/processed_jobs?job_id=eq.stress-test-8-8109 "HTTP/2 200 OK"
worker-2  | 2026-03-30 11:32:11,224 [INFO] [stress-test-8-8109] Status → failed
worker-4  | 2026-03-30 11:15:51,287 [INFO] Worker starting with Supabase library...
worker-4  | 2026-03-30 11:15:51,356 [INFO] Supabase library client initialized
worker-4  | 2026-03-30 11:16:07,056 [INFO] Connecting to RabbitMQ...
worker-4  | 2026-03-30 11:16:07,184 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-4  | 2026-03-30 11:16:07,184 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-4  | 2026-03-30 11:16:12,285 [INFO] Connecting to RabbitMQ...
worker-4  | 2026-03-30 11:16:12,289 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-4  | 2026-03-30 11:16:12,289 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-4  | 2026-03-30 11:16:17,296 [INFO] Connecting to RabbitMQ...
worker-4  | 2026-03-30 11:16:17,298 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-4  | 2026-03-30 11:16:17,299 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-4  | 2026-03-30 11:16:22,304 [INFO] Connecting to RabbitMQ...
worker-4  | 2026-03-30 11:16:22,307 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-4  | 2026-03-30 11:16:22,307 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-4  | 2026-03-30 11:16:27,312 [INFO] Connecting to RabbitMQ...
worker-4  | 2026-03-30 11:16:27,320 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-4  | 2026-03-30 11:16:27,320 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-4  | 2026-03-30 11:16:32,324 [INFO] Connecting to RabbitMQ...
worker-4  | 2026-03-30 11:16:32,337 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-4  | 2026-03-30 11:16:32,337 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-4  | 2026-03-30 11:16:37,351 [INFO] Connecting to RabbitMQ...
worker-4  | 2026-03-30 11:16:37,355 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-4  | 2026-03-30 11:16:37,355 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-4  | 2026-03-30 11:16:42,360 [INFO] Connecting to RabbitMQ...
worker-4  | 2026-03-30 11:16:42,364 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-4  | 2026-03-30 11:16:42,364 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-4  | 2026-03-30 11:16:47,367 [INFO] Connecting to RabbitMQ...
worker-4  | 2026-03-30 11:16:47,370 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-4  | 2026-03-30 11:16:47,370 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-4  | 2026-03-30 11:16:52,376 [INFO] Connecting to RabbitMQ...
worker-4  | 2026-03-30 11:16:52,392 [INFO] Ready — consuming with concurrency=4
worker-4  | 2026-03-30 11:31:34,909 [INFO] 📩 Message received from RabbitMQ — creating task...
worker-4  | 2026-03-30 11:31:34,982 [INFO] Decoding message body: b'{"callback_url":"http://host.docker.internal:9999/callback","job_id":"stress-test-0-d659","location":"India","product_id":"b36b116e-0c19-4fa0-b669-835bd76c820e","query":"What is the current price of Bitcoin?"}'
worker-4  | 2026-03-30 11:31:34,995 [INFO] [stress-test-0-d659] Starting — query: 'What is the current price of Bitcoin?', location: India, attempt: 1/4
worker-4  | 2026-03-30 11:31:35,893 [INFO] HTTP Request: PATCH https://bnrpcmwkqqdmweoxkmth.supabase.co/rest/v1/processed_jobs?job_id=eq.stress-test-0-d659 "HTTP/2 200 OK"
worker-4  | 2026-03-30 11:31:36,109 [INFO] [stress-test-0-d659] Status → processing
worker-4  | 2026-03-30 11:31:36,194 [INFO] 📩 Message received from RabbitMQ — creating task...
worker-4  | 2026-03-30 11:31:36,195 [INFO] Decoding message body: b'{"callback_url":"http://host.docker.internal:9999/callback","job_id":"stress-test-4-a727","location":"India","product_id":"b36b116e-0c19-4fa0-b669-835bd76c820e","query":"How does a transformer neural network work?"}'
worker-4  | 2026-03-30 11:31:36,195 [INFO] [stress-test-4-a727] Starting — query: 'How does a transformer neural network work?', location: India, attempt: 1/4
worker-4  | 2026-03-30 11:31:36,271 [INFO] HTTP Request: PATCH https://bnrpcmwkqqdmweoxkmth.supabase.co/rest/v1/processed_jobs?job_id=eq.stress-test-4-a727 "HTTP/2 200 OK"
worker-4  | 2026-03-30 11:31:36,276 [INFO] [stress-test-4-a727] Status → processing
